#							
# CurriculumData.tsv for phase 2							Video와Book은0
# KitkitSchool on Apr 30, 2018							Book 중Comprehensive는해당숫자표시
#							math Egg Quiz 넣음
# Copyright (c) 2016 Enuma, Inc. All rights reserved.							명칭은kitkit courese sep v3와CurriculumData참고하여작성
# See LICENSE.md for more details.							Book A,B,C...은게임으로인지함
#							수정사항들
게임이름 공백 삭제							
#레벨데이터를변경하려면:							게임이름 대소문자 구분
# 우선Google Spreadsheet상에서이파일을수정한후에							multitrace -> LetterTracingCard
# File > Download as > Tab-separated values (.tsv)를선택합니다.							NumberTracingExt ->NumberTracingExt
# 다운로드한파일이름을CurriculumData.tsv으로변경합니다.							swahili 3 day 30이 잘못되어 삭제함
# "${XPRIZE_PATH}/Resources/”에tsv파일을복사해넣습니다.							category M이어야하는 부분 수정(math와 preschool2)
# "${XPRIZE_PATH}/Resources/Games/AnimalPuzzle"에는이미지파일을복사해넣습니다.							preschool2 카테고리레벨 2로 수정
#							
							
#level	#LanguageTag	#levelTitle	#category	#categoryLevel	#numDays		
#test							
#day	dayOrder	#numGames					
#game	#gameName	#gameLevel	#gameParam				


level	en-US	PreSchool	L	0	5
day	1	3
game	ReadingBird	18	x
game	Book	0	en_506
game	Comprehension	1	en_506
game	SentenceMaker	15	x
day	14	1
game	EggQuizLiteracy	0	MiniTest_8_2
day	15	4
game	ReadingBird	18	x
game	Book	0	en_506
game	AnimalPuzzle	33	x
game	StarFall	10	x
day	16	4
game	ReadingBird	18	x
game	Book	0	en_506
game	Comprehension	1	en_506
game	StarFall	8	x
day	17	4
game	ReadingBird	18	x
game	Book	0	en_501
game	AnimalPuzzle	34	x
game	StarFall	10	x
day	18	4
game	WhatIsThis	17	x
game	Book	0	en_501
game	Comprehension	1	en_501
game	StarFall	8	x
day	19	4
game	WhatIsThis	17	x
game	Book	0	en_501
game	Comprehension	1	en_501
game	AnimalPuzzle	35	x
day	20	4
game	WhatIsThis	18	x
game	Book	0	en_503
game	AnimalPuzzle	36	x
game	StarFall	10	x
day	21	4
game	WhatIsThis	18	x
game	Book	0	en_503
game	Comprehension	1	en_503
game	AnimalPuzzle	37	x
day	22	1
game	EggQuizLiteracy	0	MiniTest_8_3
day	23	4
game	ReadingBird	16	x
game	Book	0	en_503
game	Comprehension	1	en_503
game	AnimalPuzzle	38	x
day	24	4
game	ReadingBird	17	x
game	Book	0	en_508
game	SentenceMaker	13	x
game	StarFall	10	x
day	25	4
game	ReadingBird	18	x
game	Book	0	en_508
game	Comprehension	1	en_508
game	StarFall	10	x
day	26	4
game	WhatIsThis	18	x
game	Book	0	en_508
game	Comprehension	1	en_508
game	AnimalPuzzle	39	x
day	27	4
game	WhatIsThis	19	x
game	Book	0	en_507
game	SentenceMaker	14	x
game	StarFall	10	x
day	28	4
game	WhatIsThis	19	x
game	Book	0	en_507
game	Comprehension	1	en_507
game	SentenceMaker	15	x
day	29	4
game	WhatIsThis	19	x
game	Book	0	en_507
game	Comprehension	1	en_507
game	AnimalPuzzle	40	x
day	30	1
game	EggQuizLiteracy	0	PostTest_8

level	en-US	PreSchool	M	0	5
day	1	3
game	Tapping	1	x
game	FindTheMatch	1	x
game	NumberMatching	1	x
day	2	4
game	NumberMatching	1	x
game	Tapping	1	x
game	FindTheMatch	1	x
game	Tapping	1	x
day	3	4
game	FindTheMatch	2	x
game	PatternTrain	1	x
game	NumberMatching	2	x
game	NumberMatching	2	x
day	4	4
game	PatternTrain	1	x
game	Tapping	2	x
game	FindTheMatch	2	x
game	Video	0	en_vdo_count10
day	5	4
game	FindTheMatch	3	x
game	NumberMatching	2	x
game	PatternTrain	1	x
game	Tapping	2	x

level	en-US	Math 1	M	1	16
day	1	5
game	NumberPuzzle	1	x
game	PatternTrain	2	x
game	Video	0	en_vdo_count10
game	NumberTracing	1	x
game	NumberMatching	3	x
day	2	5
game	NumberPuzzle	1	x
game	LineMatching	1	x
game	Video	0	en_vdo_count10
game	FindTheMatch	3	x
game	NumberMatching	3	x
day	3	4
game	NumberPuzzle	1	x
game	PatternTrain	2	x
game	NumberTracing	1	x
game	NumberMatching	3	x
day	4	4
game	NumberPuzzle	2	x
game	LineMatching	1	x
game	FindTheMatch	3	x
game	NumberMatching	4	x
day	5	4
game	NumberPuzzle	2	x
game	PatternTrain	2	x
game	NumberTracing	1	x
game	NumberMatching	4	x
day	6	4
game	NumberPuzzle	2	x
game	LineMatching	2	x
game	FindTheMatch	4	x
game	NumberMatching	4	x
day	7	4
game	NumberPuzzle	1	x
game	PatternTrain	2	x
game	NumberTracing	2	x
game	NumberMatching	5	x
day	8	4
game	NumberPuzzle	1	x
game	LineMatching	2	x
game	FindTheMatch	4	x
game	NumberMatching	5	x
day	9	4
game	NumberPuzzle	2	x
game	PatternTrain	3	x
game	NumberTracing	1	x
game	NumberMatching	5	x
day	10	4
game	NumberPuzzle	2	x
game	LineMatching	3	x
game	FindTheMatch	5	x
game	NumberMatching	6	x
day	11	5
game	NumberPuzzle	1	x
game	PatternTrain	3	x
game	Counting	1	x
game	NumberTracing	2	x
game	NumberMatching	6	x
day	12	4
game	NumberPuzzle	2	x
game	LineMatching	3	x
game	FindTheMatch	5	x
game	NumberMatching	7	x
day	13	5
game	NumberPuzzle	3	x
game	PatternTrain	3	x
game	Video	0	en_vdo_ub_addsub
game	NumberTracing	2	x
game	NumberMatching	7	x
day	14	5
game	NumberPuzzle	2	x
game	LineMatching	4	x
game	Video	0	en_vdo_ub_addsub
game	FindTheMatch	5	x
game	NumberMatching	8	x
day	15	5
game	NumberPuzzle	3	x
game	PatternTrain	3	x
game	Counting	1	x
game	NumberTracing	2	x
game	NumberMatching	8	x
day	16	1
game	EggQuizMath	0	PostTest_1

level	en-US	Math 2	M	2	17
day	1	4
game	PatternTrain	4	x
game	ThirtyPuzzle	1	x
game	NumberPuzzle	4	x
game	NumberTracingExt	1	x
day	2	4
game	PatternTrain	4	x
game	ThirtyPuzzle	1	x
game	NumberPuzzle	4	x
game	NumberTracingExt	3	x
day	3	5
game	PatternTrain	5	x
game	ThirtyPuzzle	2	x
game	NumberPuzzle	5	x
game	Video	0	en_vdo_bigsmall
game	NumberTracingExt	2	x
day	4	5
game	PatternTrain	5	x
game	ThirtyPuzzle	2	x
game	NumberPuzzle	5	x
game	Tapping	2	x
game	NumberTracingExt	4	x
day	5	5
game	LineMatching	5	x
game	ThirtyPuzzle	2	x
game	NumberPuzzle	4	x
game	Video	0	en_vdo_100chickens
game	Tapping	2	x
day	6	4
game	LineMatching	5	x
game	ThirtyPuzzle	3	x
game	NumberMatching	9	x
game	Tapping	3	x
day	7	5
game	LineMatching	6	x
game	ThirtyPuzzle	3	x
game	NumberMatching	9	x
game	Tapping	2	x
game	NumberTracingExt	4	x
day	8	5
game	LineMatching	6	x
game	ThirtyPuzzle	3	x
game	NumberMatching	10	x
game	Video	0	en_vdo_100chickens
game	Tapping	3	x
day	9	5
game	FindTheMatch	7	x
game	ThirtyPuzzle	4	x
game	NumberMatching	10	x
game	Video	0	en_vdo_keypad
game	Counting	2	x
day	10	5
game	FindTheMatch	7	x
game	ThirtyPuzzle	4	x
game	NumberPuzzle	4	x
game	Video	0	en_vdo_keypad
game	Counting	2	x
day	11	5
game	MissingNumber	1	x
game	ThirtyPuzzle	4	x
game	NumberPuzzle	5	x
game	Tapping	3	x
game	Counting	3	x
day	12	5
game	MissingNumber	1	x
game	ThirtyPuzzle	5	x
game	NumberMatching	11	x
game	Tapping	2	x
game	Counting	3	x
day	13	5
game	MissingNumber	2	x
game	ThirtyPuzzle	5	x
game	NumberMatching	11	x
game	NumberTracingExt	1	x
game	Counting	4	x
day	14	5
game	MissingNumber	3	x
game	ThirtyPuzzle	5	x
game	NumberPuzzle	6	x
game	NumberTracingExt	3	x
game	Counting	4	x
day	15	5
game	FindTheMatch	8	x
game	ThirtyPuzzle	6	x
game	NumberPuzzle	5	x
game	NumberTracingExt	2	x
game	FeedingTime	1	x
day	16	5
game	FindTheMatch	8	x
game	ThirtyPuzzle	6	x
game	NumberPuzzle	6	x
game	NumberTracingExt	4	x
game	FeedingTime	2	x
day	17	1
game	EggQuizMath	0	PostTest_2

level	en-US	Math 3	M	3	28
day	1	6
game	MovingInsects	1	x
game	ThirtyPuzzle	4	x
game	NumberTrain	4	x
game	EquationMaker	1	x
game	NumberTracingExt	5	x
game	Video	0	en_vdo_keypad
day	2	6
game	MovingInsects	1	x
game	ThirtyPuzzle	4	x
game	NumberTrain	4	x
game	EquationMaker	1	x
game	NumberTracingExt	6	x
game	Video	0	en_vdo_plusminus
day	3	6
game	MovingInsects	1	x
game	Video	0	en_vdo_equalsgreatless
game	NumberTrain	4	x
game	EquationMaker	2	x
game	NumberTracingExt	7	x
game	FeedingTime	1	x
day	4	5
game	MovingInsects	2	x
game	NumberTrain	5	x
game	EquationMaker	2	x
game	NumberTracingExt	8	x
game	Video	0	en_vdo_bigsmall
day	5	6
game	MovingInsects	2	x
game	ThirtyPuzzle	5	x
game	NumberTrain	5	x
game	FishTank	1	x
game	NumberTracingExt	5	x
game	FeedingTime	1	x
day	6	6
game	MovingInsects	2	x
game	ThirtyPuzzle	5	x
game	NumberTrain	5	x
game	FishTank	1	x
game	NumberTracingExt	6	x
game	Video	0	en_vdo_plusminus
day	7	1
game	EggQuizMath	0	MiniTest_3_1
day	8	6
game	MovingInsects	3	x
game	Counting	5	x
game	NumberTrain	5	x
game	FishTank	1	x
game	NumberTracingExt	7	x
game	FeedingTime	2	x
day	9	6
game	MovingInsects	3	x
game	Counting	5	x
game	NumberTrain	5	x
game	FishTank	1	x
game	ThirtyPuzzle	6	x
game	Video	0	en_vdo_bigsmall
day	10	6
game	MovingInsects	3	x
game	Video	0	en_vdo_equalsgreatless
game	NumberTrain	6	x
game	EquationMaker	3	x
game	ThirtyPuzzle	6	x
game	FeedingTime	2	x
day	11	6
game	MovingInsects	4	x
game	Counting	6	x
game	NumberTrain	6	x
game	EquationMaker	3	x
game	MissingNumber	5	x
game	Video	0	en_vdo_shapes
day	12	6
game	MovingInsects	4	x
game	Counting	6	x
game	NumberTrain	6	x
game	EquationMaker	4	x
game	MissingNumber	5	x
game	Video	0	en_vdo_plusminus
day	13	6
game	MovingInsects	4	x
game	FeedingTime	3	x
game	NumberTrain	6	x
game	EquationMaker	4	x
game	NumberTracingExt	2	x
game	Video	0	en_vdo_100chickens
day	14	1
game	EggQuizMath	0	MiniTest_3_2
day	15	6
game	MovingInsects	5	x
game	Counting	7	x
game	NumberTrain	7	x
game	EquationMaker	5	x
game	NumberTracingExt	8	x
game	Video	0	en_vdo_bigsmall
day	16	6
game	MovingInsects	5	x
game	Counting	7	x
game	NumberTrain	7	x
game	EquationMaker	5	x
game	NumberTracingExt	5	x
game	FeedingTime	3	x
day	17	5
game	MovingInsects	5	x
game	NumberTrain	7	x
game	EquationMaker	5	x
game	NumberTracingExt	6	x
game	FeedingTime	4	x
day	18	6
game	MovingInsects	6	x
game	Counting	8	x
game	NumberTrain	7	x
game	EquationMaker	5	x
game	NumberTracingExt	7	x
game	Video	0	en_vdo_plusminus
day	19	6
game	MovingInsects	6	x
game	Counting	8	x
game	NumberTrain	8	x
game	FishTank	2	x
game	MissingNumber	5	x
game	FeedingTime	4	x
day	20	6
game	MovingInsects	6	x
game	FeedingTime	5	x
game	NumberTrain	8	x
game	FishTank	2	x
game	MissingNumber	6	x
game	Video	0	en_vdo_shapes
day	21	1
game	EggQuizMath	0	MiniTest_3_3
day	22	6
game	MovingInsects	7	x
game	Counting	8	x
game	NumberTrain	8	x
game	FishTank	2	x
game	MissingNumber	7	x
game	Video	0	en_vdo_keypad
day	23	6
game	MovingInsects	7	x
game	Counting	8	x
game	NumberTrain	8	x
game	FishTank	2	x
game	NumberTracingExt	8	x
game	Video	0	en_vdo_plusminus
day	24	6
game	MovingInsects	7	x
game	Video	0	en_vdo_equalsgreatless
game	FishTank	3	x
game	EquationMaker	6	x
game	NumberTracingExt	5	x
game	FeedingTime	5	x
day	25	6
game	MovingInsects	8	x
game	Counting	8	x
game	FishTank	3	x
game	EquationMaker	6	x
game	NumberTracingExt	6	x
game	Video	0	en_vdo_100chickens
day	26	6
game	MovingInsects	8	x
game	Counting	8	x
game	FishTank	4	x
game	EquationMaker	6	x
game	NumberTracingExt	7	x
game	Video	0	en_vdo_shapes
day	27	5
game	MovingInsects	8	x
game	FishTank	4	x
game	EquationMaker	6	x
game	NumberTracingExt	8	x
game	FeedingTime	5	x
day	28	1
game	EggQuizMath	0	PostTest_3

level	en-US	Math 4	M	4	28
day	1	5
game	NumberTracingExt	9	x
game	EquationMaker	7	x
game	NumberTrain	5	x
game	Video	0	en_vdo_equalsgreatless
game	ShapeMatching	1	x
day	2	5
game	NumberTracingExt	10	x
game	EquationMaker	7	x
game	NumberTrain	6	x
game	Video	0	en_vdo_equalsgreatless
game	ShapeMatching	1	x
day	3	5
game	NumberTracingExt	11	x
game	HundredPuzzle	1	x
game	NumberTrain	6	x
game	MissingNumber	7	x
game	FeedingTime	1	x
day	4	5
game	NumberTracingExt	12	x
game	HundredPuzzle	1	x
game	NumberTrain	6	x
game	MissingNumber	7	x
game	FeedingTime	1	x
day	5	5
game	NumberTracingExt	13	x
game	HundredPuzzle	2	x
game	NumberTrain	7	x
game	MissingNumber	8	x
game	FeedingTime	2	x
day	6	5
game	Tapping	2	x
game	HundredPuzzle	2	x
game	NumberTrain	7	x
game	MissingNumber	8	x
game	FeedingTime	2	x
day	7	1
game	EggQuizMath	0	MiniTest_4_1
day	8	5
game	NumberTracingExt	9	x
game	EquationMaker	8	x
game	Video	0	en_vdo_keypad
game	Video	0	en_vdo_verticaladd
game	FeedingTime	3	x
day	9	5
game	NumberTracingExt	10	x
game	EquationMaker	8	x
game	NumberTrain	8	x
game	Video	0	en_vdo_keypad
game	FeedingTime	3	x
day	10	5
game	NumberTracingExt	11	x
game	EquationMaker	9	x
game	NumberTrain	8	x
game	FeedingTime	4	x
game	DoubleDigit	1	x
day	11	5
game	NumberTracingExt	12	x
game	EquationMaker	9	x
game	NumberTrain	9	x
game	FeedingTime	4	x
game	DoubleDigit	1	x
day	12	5
game	NumberTracingExt	13	x
game	HundredPuzzle	3	x
game	NumberTrain	9	x
game	FeedingTime	5	x
game	DoubleDigit	1	x
day	13	5
game	Tapping	3	x
game	HundredPuzzle	3	x
game	NumberTrain	10	x
game	FeedingTime	5	x
game	DoubleDigit	1	x
day	14	1
game	EggQuizMath	0	MiniTest_4_2
day	15	5
game	NumberTracingExt	9	x
game	HundredPuzzle	4	x
game	NumberTrain	10	x
game	FishTank	5	x
game	Video	0	en_vdo_equalsgreatless
day	16	5
game	NumberTracingExt	10	x
game	HundredPuzzle	4	x
game	MissingNumber	9	x
game	FishTank	5	x
game	EquationMaker	7	x
day	17	5
game	NumberTracingExt	11	x
game	HundredPuzzle	5	x
game	MissingNumber	9	x
game	FishTank	5	x
game	EquationMaker	8	x
day	18	5
game	NumberTracingExt	12	x
game	HundredPuzzle	5	x
game	Video	0	en_vdo_placevalues
game	FishTank	6	x
game	EquationMaker	9	x
day	19	5
game	NumberTracingExt	13	x
game	HundredPuzzle	6	x
game	NumberTrain	13	x
game	FishTank	6	x
game	Video	0	en_vdo_plusminus
day	20	5
game	Tapping	2	x
game	HundredPuzzle	6	x
game	NumberTrain	11	x
game	FishTank	6	x
game	MissingNumber	10	x
day	21	1
game	EggQuizMath	0	MiniTest_4_3
day	22	5
game	MissingNumber	10	x
game	FishTank	7	x
game	Video	0	en_vdo_verticalsub
game	DoubleDigit	5	x
game	FeedingTime	6	x
day	23	5
game	NumberTracingExt	9	x
game	FishTank	7	x
game	NumberTrain	12	x
game	DoubleDigit	5	x
game	FeedingTime	6	x
day	24	5
game	NumberTracingExt	10	x
game	FishTank	8	x
game	NumberTrain	11	x
game	DoubleDigit	5	x
game	FeedingTime	7	x
day	25	5
game	NumberTracingExt	11	x
game	FishTank	8	x
game	NumberTrain	12	x
game	DoubleDigit	5	x
game	FeedingTime	7	x
day	26	5
game	NumberTracingExt	12	x
game	HundredPuzzle	7	x
game	NumberTrain	13	x
game	MissingNumber	10	x
game	ShapeMatching	2	x
day	27	5
game	NumberTracingExt	13	x
game	HundredPuzzle	7	x
game	NumberTrain	12	x
game	Tapping	2	x
game	ShapeMatching	3	x
day	28	1
game	EggQuizMath	0	PostTest_4

level	en-US	Math 5	M	5	23
day	1	5
game	ShapeMatching	1	x
game	Video	0	en_vdo_shapes
game	HundredPuzzle	4	x
game	EquationMaker	10	x
game	DoubleDigit	1	x
day	2	5
game	ShapeMatching	1	x
game	Video	0	en_vdo_shapes
game	HundredPuzzle	5	x
game	EquationMaker	10	x
game	MangoShop	1	x
day	3	5
game	ShapeMatching	2	x
game	HundredPuzzle	6	x
game	EquationMaker	11	x
game	DoubleDigit	1	x
game	FeedingTime	12	x
day	4	5
game	ShapeMatching	2	x
game	HundredPuzzle	7	x
game	EquationMaker	11	x
game	MangoShop	1	x
game	FeedingTime	13	x
day	5	5
game	ShapeMatching	3	x
game	HundredPuzzle	8	x
game	NumberTracingExt	13	x
game	DoubleDigit	1	x
game	FeedingTime	14	x
day	6	4
game	ShapeMatching	3	x
game	NumberTrain	14	x
game	NumberTracingExt	14	x
game	MangoShop	1	x
day	7	1
game	EggQuizMath	0	MiniTest_5_1
day	8	5
game	ShapeMatching	4	x
game	Video	0	en_vdo_airshapes
game	HundredPuzzle	8	x
game	EquationMaker	12	x
game	DoubleDigit	2	x
day	9	5
game	ShapeMatching	4	x
game	Video	0	en_vdo_semicircle
game	NumberTrain	14	x
game	EquationMaker	12	x
game	FeedingTime	12	x
day	10	5
game	ShapeMatching	5	x
game	Video	0	en_vdo_shapesevery
game	Video	0	en_vdo_placevalues
game	NumberTracingExt	13	x
game	DoubleDigit	2	x
day	11	5
game	ShapeMatching	5	x
game	LineMatching	5	x
game	HundredPuzzle	9	x
game	NumberTracingExt	14	x
game	FeedingTime	13	x
day	12	5
game	ShapeMatching	6	x
game	LineMatching	6	x
game	NumberTrain	15	x
game	EquationMaker	10	x
game	DoubleDigit	2	x
day	13	5
game	ShapeMatching	6	x
game	LineMatching	7	x
game	HundredPuzzle	9	x
game	EquationMaker	11	x
game	FeedingTime	14	x
day	14	1
game	EggQuizMath	0	MiniTest_5_2
day	15	5
game	ShapeMatching	7	x
game	Video	0	en_vdo_shapes
game	HundredPuzzle	10	x
game	EquationMaker	12	x
game	DoubleDigit	5	x
day	16	5
game	ShapeMatching	7	x
game	Video	0	en_vdo_shapesevery
game	NumberTrain	15	x
game	MissingNumber	11	x
game	MangoShop	5	x
day	17	5
game	ShapeMatching	8	x
game	LineMatching	8	x
game	HundredPuzzle	10	x
game	MissingNumber	11	x
game	DoubleDigit	5	x
day	18	5
game	ShapeMatching	8	x
game	Video	0	en_vdo_airshapes
game	NumberTrain	16	x
game	MissingNumber	12	x
game	MangoShop	5	x
day	19	5
game	ShapeMatching	9	x
game	LineMatching	9	x
game	HundredPuzzle	11	x
game	MissingNumber	12	x
game	DoubleDigit	5	x
day	20	5
game	ShapeMatching	9	x
game	NumberTrain	16	x
game	MissingNumber	13	x
game	MangoShop	5	x
game	FeedingTime	13	x
day	21	5
game	ShapeMatching	10	x
game	LineMatching	9	x
game	HundredPuzzle	11	x
game	MissingNumber	13	x
game	DoubleDigit	6	x
day	22	5
game	ShapeMatching	10	x
game	NumberTrain	17	x
game	MissingNumber	14	x
game	DoubleDigit	6	x
game	FeedingTime	14	x
day	23	1
game	EggQuizMath	0	PostTest_5

level	en-US	Math 6	M	6	28
day	1	5
game	ThirtyPuzzle	18	x
game	FeedingTime	12	x
game	MissingNumber	15	x
game	Video	0	en_vdo_verticaladd
game	HundredPuzzle	12	x
day	2	4
game	ThirtyPuzzle	18	x
game	NumberTrain	16	x
game	MissingNumber	15	x
game	MangoShop	1	x
day	3	4
game	ThirtyPuzzle	18	x
game	FeedingTime	19	x
game	MissingNumber	16	x
game	MangoShop	2	x
day	4	5
game	ThirtyPuzzle	19	x
game	NumberTrain	16	x
game	MissingNumber	16	x
game	MangoShop	2	x
game	DoubleDigit	2	x
day	5	5
game	ThirtyPuzzle	19	x
game	FeedingTime	13	x
game	MissingNumber	17	x
game	MangoShop	2	x
game	DoubleDigit	2	x
day	6	5
game	ThirtyPuzzle	19	x
game	NumberTrain	16	x
game	MissingNumber	17	x
game	MangoShop	3	x
game	DoubleDigit	2	x
day	7	1
game	EggQuizMath	0	MiniTest_6_1
day	8	4
game	ThirtyPuzzle	20	x
game	FeedingTime	19	x
game	MissingNumber	18	x
game	MangoShop	3	x
day	9	4
game	ThirtyPuzzle	20	x
game	NumberTrain	17	x
game	MissingNumber	18	x
game	MangoShop	3	x
day	10	4
game	ThirtyPuzzle	20	x
game	FeedingTime	14	x
game	MissingNumber	19	x
game	MangoShop	4	x
day	11	5
game	ThirtyPuzzle	21	x
game	NumberTrain	17	x
game	MissingNumber	19	x
game	MangoShop	4	x
game	DoubleDigit	3	x
day	12	4
game	ThirtyPuzzle	21	x
game	MissingNumber	20	x
game	MangoShop	4	x
game	DoubleDigit	3	x
day	13	5
game	ThirtyPuzzle	21	x
game	NumberTrain	17	x
game	MissingNumber	20	x
game	MangoShop	4	x
game	DoubleDigit	3	x
day	14	1
game	EggQuizMath	0	MiniTest_6_2
day	15	4
game	ThirtyPuzzle	18	x
game	FeedingTime	19	x
game	MissingNumber	21	x
game	MangoShop	5	x
day	16	4
game	ThirtyPuzzle	19	x
game	NumberTrain	18	x
game	MissingNumber	21	x
game	MangoShop	5	x
day	17	4
game	ThirtyPuzzle	20	x
game	FeedingTime	15	x
game	MissingNumber	22	x
game	MangoShop	5	x
day	18	5
game	ThirtyPuzzle	21	x
game	NumberTrain	18	x
game	MissingNumber	22	x
game	MangoShop	6	x
game	DoubleDigit	5	x
day	19	5
game	ThirtyPuzzle	22	x
game	FeedingTime	19	x
game	MissingNumber	23	x
game	MangoShop	6	x
game	DoubleDigit	5	x
day	20	5
game	ThirtyPuzzle	18	x
game	NumberTrain	18	x
game	MissingNumber	23	x
game	MangoShop	6	x
game	DoubleDigit	5	x
day	21	1
game	EggQuizMath	0	MiniTest_6_3
day	22	5
game	MangoShop	11	x
game	FeedingTime	12	x
game	MissingNumber	24	x
game	Video	0	en_vdo_keypad
game	HundredPuzzle	12	x
day	23	4
game	ThirtyPuzzle	19	x
game	NumberTrain	1	x
game	MissingNumber	25	x
game	Video	0	en_vdo_verticaladd
day	24	4
game	MangoShop	10	x
game	FeedingTime	16	x
game	MissingNumber	25	x
game	Video	0	en_vdo_plusminus
day	25	4
game	ThirtyPuzzle	20	x
game	NumberTrain	2	x
game	MissingNumber	26	x
game	Video	0	en_vdo_verticalsub
day	26	4
game	MangoShop	11	x
game	FeedingTime	19	x
game	MissingNumber	26	x
game	Video	0	en_vdo_placevalues
day	27	4
game	ThirtyPuzzle	21	x
game	DoubleDigit	1	x
game	NumberTrain	3	x
game	MissingNumber	27	x
day	28	1
game	EggQuizMath	0	PostTest_6

level	en-US	Math 7	M	7	29
day	1	4
game	MissingNumber	27	x
game	MangoShop	5	x
game	DoubleDigit	5	x
game	NumberTrain	4	x
day	2	4
game	MissingNumber	28	x
game	Video	0	en_vdo_verticalsub
game	DoubleDigit	5	x
game	NumberTrain	5	x
day	3	4
game	MissingNumber	28	x
game	MangoShop	6	x
game	DoubleDigit	6	x
game	NumberTrain	6	x
day	4	4
game	MissingNumber	29	x
game	MangoShop	7	x
game	DoubleDigit	6	x
game	FeedingTime	9	x
day	5	4
game	MissingNumber	29	x
game	MangoShop	7	x
game	DoubleDigit	7	x
game	FeedingTime	10	x
day	6	4
game	MissingNumber	30	x
game	MangoShop	7	x
game	DoubleDigit	7	x
game	FeedingTime	11	x
day	7	1
game	EggQuizMath	0	MiniTest_7_1
day	8	5
game	ThirtyPuzzle	21	x
game	Video	0	en_vdo_verticaladd
game	DoubleDigit	2	x
game	NumberTrain	6	x
game	LineMatching	10	x
day	9	4
game	ThirtyPuzzle	21	x
game	MangoShop	1	x
game	DoubleDigit	2	x
game	NumberTrain	7	x
day	10	4
game	ThirtyPuzzle	22	x
game	MangoShop	2	x
game	DoubleDigit	2	x
game	NumberTrain	8	x
day	11	4
game	MissingNumber	30	x
game	MangoShop	3	x
game	DoubleDigit	3	x
game	FeedingTime	19	x
day	12	4
game	MissingNumber	31	x
game	MangoShop	4	x
game	DoubleDigit	3	x
game	FeedingTime	9	x
day	13	4
game	MissingNumber	31	x
game	MangoShop	10	x
game	DoubleDigit	3	x
game	FeedingTime	10	x
day	14	1
game	EggQuizMath	0	MiniTest_7_2
day	15	5
game	MissingNumber	32	x
game	MangoShop	5	x
game	DoubleDigit	5	x
game	NumberTrain	9	x
game	LineMatching	11	x
day	16	4
game	MissingNumber	32	x
game	Video	0	en_vdo_verticalsub
game	DoubleDigit	6	x
game	NumberTrain	10	x
day	17	4
game	MissingNumber	33	x
game	MangoShop	6	x
game	DoubleDigit	7	x
game	NumberTrain	11	x
day	18	4
game	MissingNumber	33	x
game	MangoShop	7	x
game	DoubleDigit	8	x
game	FeedingTime	11	x
day	19	4
game	MissingNumber	34	x
game	MangoShop	7	x
game	DoubleDigit	8	x
game	FeedingTime	19	x
day	20	4
game	MissingNumber	34	x
game	MangoShop	7	x
game	DoubleDigit	8	x
game	FeedingTime	9	x
day	21	1
game	EggQuizMath	0	MiniTest_7_3
day	22	5
game	MissingNumber	35	x
game	Video	0	en_vdo_verticaladd
game	DoubleDigit	4	x
game	NumberTrain	12	x
game	LineMatching	11	x
day	23	4
game	MissingNumber	35	x
game	MangoShop	1	x
game	DoubleDigit	4	x
game	NumberTrain	13	x
day	24	4
game	ThirtyPuzzle	24	x
game	MangoShop	2	x
game	DoubleDigit	9	x
game	NumberTrain	14	x
day	25	4
game	MissingNumber	36	x
game	MangoShop	3	x
game	DoubleDigit	9	x
game	FeedingTime	10	x
day	26	4
game	MissingNumber	36	x
game	MangoShop	4	x
game	DoubleDigit	9	x
game	FeedingTime	11	x
day	27	4
game	MissingNumber	37	x
game	MangoShop	8	x
game	DoubleDigit	10	x
game	FeedingTime	19	x
day	28	4
game	MissingNumber	37	x
game	MangoShop	8	x
game	DoubleDigit	10	x
game	FeedingTime	19	x
day	29	1
game	EggQuizMath	0	PostTest_7

level	en-US	Math 8	M	8	28
day	1	4
game	FeedingTime	16	x
game	Video	0	en_vdo_plusminus
game	DoubleDigit	9	x
game	ThirtyPuzzle	25	x
day	2	4
game	FeedingTime	17	x
game	Video	0	en_vdo_verticalsub2
game	DoubleDigit	10	x
game	ThirtyPuzzle	26	x
day	3	4
game	FeedingTime	18	x
game	Video	0	en_vdo_verticaladd2
game	DoubleDigit	10	x
game	ThirtyPuzzle	27	x
day	4	4
game	Video	0	en_vdo_bigsmall
game	DoubleDigit	9	x
game	MissingNumber	29	x
game	ThirtyPuzzle	28	x
day	5	4
game	MangoShop	9	x
game	DoubleDigit	10	x
game	MissingNumber	30	x
game	ThirtyPuzzle	29	x
day	6	4
game	MangoShop	9	x
game	DoubleDigit	11	x
game	MissingNumber	31	x
game	ThirtyPuzzle	30	x
day	7	1
game	EggQuizMath	0	MiniTest_8_1
day	8	5
game	FeedingTime	19	x
game	Video	0	en_vdo_verticaladd3
game	DoubleDigit	11	x
game	ThirtyPuzzle	28	x
game	LineMatching	11	x
day	9	4
game	FeedingTime	20	x
game	MangoShop	9	x
game	DoubleDigit	12	x
game	ThirtyPuzzle	29	x
day	10	4
game	FeedingTime	21	x
game	MangoShop	9	x
game	DoubleDigit	13	x
game	ThirtyPuzzle	30	x
day	11	4
game	FeedingTime	22	x
game	DoubleDigit	12	x
game	MissingNumber	29	x
game	Video	0	en_vdo_verticaladd3
day	12	4
