# LanguageTag	#Level	#Puzzle	#Text	#foldername	#Background	#Pieces	#mask	#sound
#Piece	#filename prefix	#posX	#posY	#depth	#shadow			
24	ap_puzzle26_puzzle24	2005	-30	x	x			
en-US	39	1	Monkeys and Crocodile	level7/puzzle27/	ap_puzzle27_background.png	24	x	monkeys and crocodile
1	ap_puzzle27_puzzle1	0	928	x	x			
2	ap_puzzle27_puzzle2	382	824	x	x			
3	ap_puzzle27_puzzle3	651	928	x	x			
4	ap_puzzle27_puzzle4	1184	824	x	x			
5	ap_puzzle27_puzzle5	1453	928	x	x			
6	ap_puzzle27_puzzle6	1980	824	x	x			
7	ap_puzzle27_puzzle7	0	501	x	x			
8	ap_puzzle27_puzzle8	248	608	x	x			
9	ap_puzzle27_puzzle9	782	501	x	x			
10	ap_puzzle27_puzzle10	1051	608	x	x			
11	ap_puzzle27_puzzle11	1585	501	x	x			
12	ap_puzzle27_puzzle12	1856	608	x	x			
13	ap_puzzle27_puzzle13	0	279	x	x			
14	ap_puzzle27_puzzle14	382	176	x	x			
15	ap_puzzle27_puzzle15	651	279	x	x			
16	ap_puzzle27_puzzle16	1184	176	x	x			
17	ap_puzzle27_puzzle17	1453	279	x	x			
18	ap_puzzle27_puzzle18	1980	176	x	x			
19	ap_puzzle27_puzzle19	0	-34	x	x			
20	ap_puzzle27_puzzle20	248	-34	x	x			
21	ap_puzzle27_puzzle21	782	-34	x	x			
22	ap_puzzle27_puzzle22	1051	-34	x	x			
23	ap_puzzle27_puzzle23	1585	-34	x	x			
24	ap_puzzle27_puzzle24	1856	-34	x	x			
en-US	40	1	Cacti and Camels	level7/puzzle28/	ap_puzzle28_background.png	24	x	cacti and camels
1	ap_puzzle28_puzzle1	0	942	x	x			
2	ap_puzzle28_puzzle2	302	942	x	x			
3	ap_puzzle28_puzzle3	710	942	x	x			
4	ap_puzzle28_puzzle4	1110	942	x	x			
5	ap_puzzle28_puzzle5	1514	942	x	x			
6	ap_puzzle28_puzzle6	1912	942	x	x			
7	ap_puzzle28_puzzle7	0	617	x	x			
8	ap_puzzle28_puzzle8	401	617	x	x			
9	ap_puzzle28_puzzle9	798	617	x	x			
10	ap_puzzle28_puzzle10	1200	617	x	x			
11	ap_puzzle28_puzzle11	1601	617	x	x			
12	ap_puzzle28_puzzle12	2005	617	x	x			
13	ap_puzzle28_puzzle13	0	292	x	x			
14	ap_puzzle28_puzzle14	302	292	x	x			
15	ap_puzzle28_puzzle15	710	292	x	x			
16	ap_puzzle28_puzzle16	1110	292	x	x			
17	ap_puzzle28_puzzle17	1514	292	x	x			
18	ap_puzzle28_puzzle18	1912	292	x	x			
19	ap_puzzle28_puzzle19	0	-30	x	x			
20	ap_puzzle28_puzzle20	401	-30	x	x			
21	ap_puzzle28_puzzle21	798	-30	x	x			
22	ap_puzzle28_puzzle22	1200	-30	x	x			
23	ap_puzzle28_puzzle23	1601	-30	x	x			
24	ap_puzzle28_puzzle24	2005	-30	x	x			
