title,A Happy Kingdom,book_en_508_page_0_1.m4a,book_en_508_page_0,portrait,audio,
word,4.22831,4.73048,nothing.,en-uk_nothing.m4a,0.2,
sentence,book_en_508_page_12_5.m4a,14.9424,
word,0.278209,0.475727,He,en-uk_he.m4a,0.2,
word,0.475727,1.32631,thought,en-uk_thought.m4a,0.2,
word,1.32631,1.75152,and,en-uk_and.m4a,0.2,
word,1.75152,2.25388,thought.,en-uk_thought.m4a,0.2,
page,13,book_en_508_page_13,wordwrap,
paragraph
sentence,book_en_508_page_13_1.m4a,0,
word,0.299096,0.507711,“I,en-uk_i.m4a,0.2,
word,0.507711,0.724504,did,en-uk_did.m4a,0.2,
word,0.724504,1.02475,not,en-uk_not.m4a,0.2,
word,1.02475,1.52491,need,en-uk_need.m4a,0.2,
word,1.52491,1.93366,legs,en-uk_legs.m4a,0.2,
word,1.93366,2.06726,to,en-uk_to.m4a,0.2,
word,2.06726,2.24216,be,en-uk_be.m4a,0.2,
word,2.24216,2.65807,happy.,en-uk_happy.m4a,0.2,
sentence,book_en_508_page_13_2.m4a,3.65807,
word,0.265924,0.508421,I,en-uk_i.m4a,0.2,
word,0.508421,0.700878,can,en-uk_can.m4a,0.2,
word,0.700878,1.25074,dance,en-uk_dance.m4a,0.2,
word,1.25074,1.45138,by,en-uk_by.m4a,0.2,
word,1.45138,1.96787,moving,en-uk_moving.m4a,0.2,
word,1.96787,2.17631,my,en-uk_my.m4a,0.2,
word,2.17631,2.4832,"head,”",en-uk_head.m4a,0.2,
sentence,book_en_508_page_13_3.m4a,7.14127,
word,0.383132,0.625058,said,en-uk_said.m4a,0.2,
word,0.625058,0.827348,the,en-uk_the.m4a,0.2,
word,0.827348,0.857098,snake.,en-uk_snake.m4a,0.2,
sentence,book_en_508_page_13_4.m4a,8.99837,
word,0.281006,0.507482,“But,en-uk_but.m4a,0.2,
word,0.507482,0.965915,I,en-uk_i.m4a,0.2,
word,0.965915,1.13283,am,en-uk_am.m4a,0.2,
word,1.13283,1.98259,sad,en-uk_sad.m4a,0.2,
word,1.98259,2.12385,that,en-uk_that.m4a,0.2,
word,2.12385,2.36593,your,en-uk_your.m4a,0.2,
word,2.36593,2.97509,festival,en-uk_festival.m4a,0.2,
word,2.97509,3.20799,is,en-uk_is.m4a,0.2,
word,3.20799,3.567,all,en-uk_all.m4a,0.2,
word,3.567,3.9423,about,en-uk_about.m4a,0.2,
word,3.9423,4.37592,legs,en-uk_legs.m4a,0.2,
word,4.37592,4.7178,and,en-uk_and.m4a,0.2,
word,4.7178,5.60981,dancing,en-uk_dancing.m4a,0.2,
word,5.60981,5.79268,when,en-uk_when.m4a,0.2,
word,5.79268,6.07702,I,en-uk_i.m4a,0.2,
word,6.07702,6.29386,do,en-uk_do.m4a,0.2,
word,6.29386,6.46064,not,en-uk_not.m4a,0.2,
word,6.46064,6.75918,have,en-uk_have.m4a,0.2,
word,6.75918,6.96857,any,en-uk_any.m4a,0.2,
word,6.96857,7.41707,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_13_5.m4a,17.4154,
word,0,0.548462,The,en-uk_the.m4a,0.2,
word,0.548462,1.35987,snake,en-uk_snake.m4a,0.2,
word,1.35987,1.92167,began,en-uk_began.m4a,0.2,
word,1.92167,2.13799,to,en-uk_to.m4a,0.2,
word,2.13799,2.51746,leave.,en-uk_leave.m4a,0.2,
page,14,book_en_508_page_14,wordwrap,
paragraph
sentence,book_en_508_page_14_1.m4a,0,
word,0.409125,1.04689,“Please,en-uk_please.m4a,0.2,
word,1.04689,1.32736,come,en-uk_come.m4a,0.2,
word,1.32736,1.62542,"back,”",en-uk_back.m4a,0.2,
sentence,book_en_508_page_14_2.m4a,2.62542,
word,0.427567,0.77573,said,en-uk_said.m4a,0.2,
word,0.77573,1.01461,the,en-uk_the.m4a,0.2,
word,1.01461,1.16036,king.,en-uk_king.m4a,0.2,
sentence,book_en_508_page_14_3.m4a,4.78578,
word,0.131221,0.391004,“I,en-uk_i.m4a,0.2,
word,0.391004,0.884783,am,en-uk_am.m4a,0.2,
word,0.884783,1.6027,sorry,en-uk_sorry.m4a,0.2,
word,1.6027,1.81528,I,en-uk_i.m4a,0.2,
word,1.81528,2.22736,forgot,en-uk_forgot.m4a,0.2,
word,2.22736,2.7354,about,en-uk_about.m4a,0.2,
word,2.7354,3.37876,animals,en-uk_animals.m4a,0.2,
word,3.37876,3.66967,with,en-uk_with.m4a,0.2,
word,3.66967,3.93686,no,en-uk_no.m4a,0.2,
word,3.93686,4.42324,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_14_4.m4a,10.209,
word,0.282284,0.465871,We,en-uk_we.m4a,0.2,
word,0.465871,1.08441,all,en-uk_all.m4a,0.2,
word,1.08441,1.38551,have,en-uk_have.m4a,0.2,
word,1.38551,1.86129,things,en-uk_things.m4a,0.2,
word,1.86129,2.01782,to,en-uk_to.m4a,0.2,
word,2.01782,2.17686,be,en-uk_be.m4a,0.2,
word,2.17686,2.58623,proud,en-uk_proud.m4a,0.2,
word,2.58623,2.76764,of.,en-uk_of.m4a,0.2,
sentence,book_en_508_page_14_5.m4a,13.9767,
word,0.298295,0.462899,The,en-uk_the.m4a,0.2,
word,0.462899,0.987448,next,en-uk_next.m4a,0.2,
word,0.987448,1.67958,festival,en-uk_festival.m4a,0.2,
word,1.67958,1.96286,will,en-uk_will.m4a,0.2,
word,1.96286,2.21254,be,en-uk_be.m4a,0.2,
word,2.21254,2.35434,a,en-uk_a.m4a,0.2,
word,2.35434,3.239,celebration,en-uk_celebration.m4a,0.2,
word,3.239,3.7028,of,en-uk_of.m4a,0.2,
word,3.7028,4.45885,amazing,en-uk_amazing.m4a,0.2,
word,4.45885,5.31957,stripes!”,en-uk_stripes.m4a,0.2,
